Stock Invested in,Sector,Value(Mn), % of Total Holdings,1Y Highest Holding,1Y Lowest Holding
 Coromandel International Ltd.,Fertilisers-phosphatic,688.6,0.82%,0.88% (Jun 2022),0.58% (Oct 2021)
Anonymous,Banks,677.6,0.81%,0.98% (Jan 2022),0.77% (Nov 2021)
 Shriram City Union Finance Ltd.,Nbfc,548.2,0.66%,1.01% (Oct 2021),0.65% (Mar 2022)
 Dhanuka Agritech Ltd.,Pesticides and agrochemicals,516.7,0.62%,0.97% (Sep 2021),0.62% (Aug 2022)
 Whirlpool Of India Ltd.,Home appliances,497.2,0.60%,0.62% (May 2022),0% (Sep 2021)
 JMC Projects (India) Ltd.,Construction civil,492.4,0.59%,0.96% (Sep 2021),0.54% (Jul 2022)
 Sandhar Technologies Ltd.,Auto ancillaries,429.2,0.51%,0.89% (Sep 2021),0.51% (Aug 2022)
 Mahindra & Mahindra Financial Services Ltd.,Nbfc,410.6,0.49%,0.49% (Aug 2022),0.26% (Mar 2022)
 WPIL Ltd.,Compressors / pumps,409.3,0.49%,0.51% (May 2022),0.38% (Mar 2022)
 The Ramco Cements Ltd.,Cement,404.3,0.48%,0.92% (Oct 2021),0.48% (Aug 2022)
 Kewal Kiran Clothing Ltd.,Fabrics and garments,367.9,0.44%,0.44% (Aug 2022),0.24% (Mar 2022)
 Medplus Health Services Ltd.,Speciality retail,353.3,0.42%,0.77% (Jan 2022),0% (Sep 2021)
 Hindustan Oil Exploration Co. Ltd.,Oil exploration,322.7,0.39%,0.7% (Sep 2021),0.39% (Aug 2022)
 Heritage Foods (india) Ltd.,Consumer food,251.1,0.30%,0.66% (Oct 2021),0.28% (Jul 2022)
 Motherson Sumi Systems Ltd.,Auto ancillaries,217.5,0.26%,0.58% (Dec 2021),0.26% (Aug 2022)
 MTAR Technologies Ltd.,Defense,205.6,0.25%,0.46% (Dec 2021),0.2% (Jul 2022)
 Zydus Lifesciences Ltd.,Pharmaceuticals,198.5,0.24%,0.49% (Sep 2021),0.23% (Jul 2022)
 UTI Asset Management Co. Pvt. Ltd.,Investment companies,187.1,0.22%,0.38% (Nov 2021),0.17% (Oct 2021)
